form	lemma	POS							
DIALOGO	dialòg	NOUN							
<lb/>	lb	XML							
ENTRE	entre	ADP							
le	lo	DET							
Cultibatou	cultivator	NOUN							
BOURREL	Borrèl	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
de	de	ADP							
la	lo	DET							
Parroquio	parròquia	NOUN							
de	de	ADP							
Sen	sant	ADJ							
-	-	PUNCT							
Sarni	Sarnin	PROPN							
de	de	ADP							
<lb/>	lb	XML							
Toulouso	Tolosa	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
ET	e	CCONJ							
Mestre	mèstre	NOUN							
LABERTAT	Lavertat	PROPN							
.	.	PUNCT							
Jardinié	jardinièr	NOUN							
<lb/>	lb	XML							
del	de+lo	ADP+DET							
Bari	barri	NOUN							
de	de	ADP							
Sen	sant	ADJ							
-	-	PUNCT							
Miquel	Miquèl	PROPN							
,	,	PUNCT							
de	de	ADP							
la	lo	DET							
mêmo	mèma	ADJ							
<lb/>	lb	XML							
Bilo	vila	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
<lb/>	lb	XML							
Mestre	mèstre	NOUN							
LABERTAT	Lavertat	PROPN							
.	.	PUNCT							
<lb/>	lb	XML							
PARDI	pardí	INTJ							
,	,	PUNCT							
Mestre	mèstre	NOUN							
Bourrel	Borrèl	PROPN							
,	,	PUNCT							
son	èsser	AUX							
charmat	charmar	VERB							
de	de	ADP							
bous	vos	PRON							
beze	véser	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Ey	aver	AUX							
legit	legir	VERB							
bostr'	vòstre	DET							
oubratge	obratge	NOUN							
avant	avant	ADV							
-	-	PUNCT							
hier	ièr	ADV							
ambe	amb	ADP							
leze	léser	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
Ey	aver	VERB							
pla	plan	ADV							
fay	far	VERB							
reflexiou	reflexion	NOUN							
à	a	ADP							
tout	tot	DET							
ço	çò	PRON							
qu'	qui	PRON							
abes	aver	AUX							
dit	dire	VERB							
;	;	PUNCT							
<lb/>	lb	XML							
Mes	mas	CCONJ							
ey	aver	AUX							
bist	véser	VERB							
cependant	cependant	ADV							
qu'	que	SCONJ							
abes	aver	AUX							
un	un	DET							
pau	pauc	ADV							
faillit	falhir	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Quand	quand	SCONJ							
on	òm	PRON							
fa	far	VERB							
de	de	ADP							
proujets	projècte	NOUN							
per	per	ADP							
le	lo	DET							
salut	salut	NOUN							
del	de+lo	ADP+DET							
pople	pòble	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
On'	òm	DET							
on	òm	PRON							
bol	voler	VERB							
pel	per+lo	ADP+DET							
Routurier	roturièr	NOUN							
,	,	PUNCT							
per	per	ADP							
le	lo	DET							
Clergé	clergé	NOUN							
,	,	PUNCT							
le	lo	DET							
Noble	nòble	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
La	lo	DET							
balanço	balança	NOUN							
à	a	ADP							
la	lo	DET							
ma	man	NOUN							
les	el	PRON							
mettre	metre	VERB							
à	a	ADP							
la	lo	DET							
razou	rason	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Qual	caler	VERB							
dire	dire	VERB							
la	lo	DET							
bertat	vertat	NOUN							
se	se	SCONJ							
l'	lo	DET							
on	òm	PRON							
bol	voler	VERB							
estre	èsser	VERB							
Autou	autor	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Bourrel	Borrèl	PROPN							
,	,	PUNCT							
bous	vos	PRON							
abes	aver	AUX							
fayt	far	VERB							
dins	dins	ADP							
bostros	vòstre	DET							
douleenços	doleénça	NOUN							
<lb/>	lb	XML							
Uno	un	DET							
troupe	tropa	NOUN							
d'	de	ADP							
escars	escar	NOUN							
et	e	CCONJ							
pla	plan	ADV							
de	de	ADP							
negligenços	negligença	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
Bous	vos	PRON							
abes	aver	AUX							
fayt	far	VERB							
,	,	PUNCT							
amic	amic	NOUN							
,	,	PUNCT							
coumo	coma	ADP							
dins	dins	ADP							
le	lo	DET							
cahier	caièr	NOUN							
<lb/>	lb	XML							
Que	qui	PRON							
ben	venir	VERB							
de	de	ADP							
présenta	presentar	VERB							
la	lo	DET							
Bilo	vila	NOUN							
en	en	ADP							
son	son	DET							
entier	entièr	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Per	per	ADP							
hazard	asard	NOUN							
,	,	PUNCT							
l'	lo	DET							
autre	autre	DET							
jour	jorn	NOUN							
,	,	PUNCT							
sur	sus	ADP							
nostro	nòstre	DET							
grando	grand	ADJ							
plaço	plaça	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Bejebi	véser	VERB							
un	un	DET							
Porto	portar	VERB							
-	-	PUNCT							
faix	fais	NOUN							
,	,	PUNCT							
ambe	amb	ADP							
sa	son	DET							
larjo	larg	ADJ							
faço	faça	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Que	qui	PRON							
quirdabo	quirdar	VERB							
tout	tot	ADV							
soul	sol	ADJ							
coumm'	coma	ADP							
un	un	DET							
dégargaillat	degargalhar	VERB							
:	:	PUNCT							
<lb/>	lb	XML							
A	a	ADP							
deux	2	DET							
sos	sòu	NOUN							
le	lo	DET							
cahier	caièr	NOUN							
,	,	PUNCT							
à	a	ADP							
deux	2	DET							
sos	sòu	NOUN							
l'	lo	DET							
imprimat	imprimar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
M'	ieu	PRON							
arrestebi	arrestar	VERB							
tout	tot	ADV							
court	cort	ADJ							
per	per	ADP							
croumpa	crompar	VERB							
aquel	aquel	DET							
oubratge	obratge	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
M'	ieu	PRON							
en	en	PRON							
bau	anar	VERB							
dins	dins	ADP							
moun	mon	DET							
oustal	ostal	NOUN							
per	per	ADP							
ne	en	PRON							
sabe	saber	VERB							
l'	lo	DET							
usatge	usatge	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
You	ieu	PRON							
que	qui	PRON							
cresioy	créser	VERB							
legi	legir	VERB							
quiquom	quicòm	PRON							
de	de	ADP							
pla	plan	ADV							
dictat	dictar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Que	que	ADV							
fousquebi	èsser	AUX							
surpres	susprendre	VERB							
d'	de	ADP							
au	el	PRON							
beze	véser	VERB							
mal	mal	ADV							
tratat	tractar	NOUN							
!	!	PUNCT							
<lb/>	lb	XML							
Me	ieu	PRON							
diguebi	dire	VERB							
entre	entre	ADP							
you	ieu	PRON							
,	,	PUNCT							
d'	de	ADP							
un	un	DET							
ardou	ardor	NOUN							
mal	mal	ADV							
jouyouso	joiós	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Quin	quin	DET							
cahier	caièr	NOUN							
mal	mal	ADV							
conçut	concebre	VERB							
que	qui	PRON							
présento	presentar	VERB							
Toulouso	Tolosa	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
La	lo	DET							
Bilo	vila	NOUN							
es	èsser	VERB							
un	un	DET							
endret	endrech	ADV							
qu'	qui	PRON							
a	aver	AUX							
fayt	far	VERB							
pla	plan	ADV							
de	de	ADP							
sabens	saber	ADJ							
!	!	PUNCT							
<lb/>	lb	XML							
Qual	caler	VERB							
qu'	que	SCONJ							
aoujen	aver	AUX							
oublidat	oblidar	VERB							
l'	lo	DET							
estile	estil	NOUN							
d'	de	ADP							
ancien	ancien	ADJ							
temps	temps	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
You	ieu	PRON							
que	qui	PRON							
soun	èsser	VERB							
un	un	DET							
Paysan	paisan	NOUN							
,	,	PUNCT							
d'	de	ADP							
un	un	DET							
pla	plan	ADV							
triste	triste	ADJ							
Bilatge	vilatge	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Aurioy	aver	AUX							
millou	melhor	ADV							
rengat	rengar	VERB							
aquel	aquel	DET							
utile	util	ADJ							
oubratge	obratge	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
Aurioy	aver	AUX							
,	,	PUNCT							
ambe	amb	ADP							
rasou	rason	NOUN							
,	,	PUNCT							
détaillat	detalhar	VERB							
les	lo	DET							
abus	abús	NOUN							
<lb/>	lb	XML							
Et	e	CCONJ							
toutis	tot	DET							
les	lo	DET							
afas	afar	NOUN							
,	,	PUNCT	sans				Et toutis les afas ,	sans	"oufença digus . \"" <lb/>"
oufença	ofençar	VERB							
digus	degus	PRON							
.	.	PUNCT							
<lb/>	lb	XML							
Mestre	mèstre	NOUN							
BOURREL	Borrèl	PROPN							
.	.	PUNCT							
<lb/>	lb	XML							
You	ieu	PRON							
soun	èsser	AUX							
fort	fòrt	ADV							
estourdit	estordir	VERB							
qu'	estordor	VERB							
un	un	DET							
homme	òme	NOUN							
de	de	ADP							
bostr'	vòstre	DET							
âge	atge	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Que	qui	PRON							
n'	non	ADV							
a	aver	AUX							
pas	aver	ADP							
estudiat	estudiar	VERB							
,	,	PUNCT							
bolg'	voler	VERB							
abe	aver	VERB							
l'	lo	DET							
abantatge	avantatge	NOUN							
<lb/>	lb	XML							
De	de	ADP							
boule	voler	VERB							
critiqua	critiquar	VERB							
ço	çò	PRON							
que	qui	PRON							
noumbre	nombre	NOUN							
de	de	ADP							
