tokens,lemma,POS
A,a,ADP
MOUNSEIGNOU,monsenhor,NOUN
ILLUSTRISSIME,illustrissim,ADJ
é,e,CCON
Reberendissime,reverendissime,ADJ
CHARLES,Charles,PROPN
DE,de,ADP
MOUNTCHAL,Montchal,PROPN
Archebesque,arquevèsque,NOUN
de,de,ADP
Toulouso,Tolosa,PROPN
.,.,PUNCT
MOUNSEIGNOV,monsenhor,NOUN
",",",",PUNCT
é,e,CCON
bélcop,bèl+còp,ADV
digne,digne,ADJ
Pastou,pastor,NOUN
La,lo,DET
Caritat,caritat,NOUN
pourtado,portar,VERB
d',de,ADP
elo,el,PRON
metisso,meteis,ADJ
",",",",PUNCT
à,a,ADP
fa,far,VERB
del,de+lo,ADP+DET
be,ben,NOUN
à,a,ADP
touts,tot,PRON
",",",",PUNCT
s',el,PRON
acoumodo,acomodar,VERB
boulountiés,volontièr,ADV
à,a,ADP
touts,tot,PRON
",",",",PUNCT
per,per,ADP
les,lo,PRON
gaigna,ganhar,VERB
toutis,tot,PRON
",",",",PUNCT
é,e,CCON
noun,non,ADV
laissa,laissar,VERB
pérdre,perdre,VERB
cap,cap,ADV
.,.,PUNCT
D',de,ADP
aqui,aquí,ADV
ben,venir,VERB
que,que,SCON
la,lo,DET
Douctrino,doctrina,NOUN
Crestiano,crestian,ADJ
",",",",PUNCT
ta,tant,ADV
necessario,necessari,ADJ
pe,per,ADP
-,-,PUNCT
l',lo,DET
salut,salut,NOUN
d',de,ADP
un,un,DET
cadun,cadun,PRON
",",",",PUNCT
é,e,CCON
de,de,ADP
ta,tant,ADV
pauquis,pauc,ADV
apreso,apprendre,VERB
",",",",PUNCT
o,o,CCON
per,per,ADP
milhou,melhor,ADV
dire,dire,VERB
",",",",PUNCT
tant,tant,ADV
ignourado,ignorar,VERB
demés,demèst,ADP
le,lo,DET
popple,pòble,NOUN
Crestia,crestian,ADJ
:,:,PUNCT
elo,el,PRON
que,qui,PRON
n',non,ADV
a,aver,VERB
d',de,ADP
autre,autre,DET
sutjét,subjèct,NOUN
",",",",PUNCT
ni,ni,CCON
d',de,ADP
autre,autre,DET
but,but,NOUN
principal,principal,ADJ
",",",",PUNCT
que,que,SCON
la,lo,DET
caritat,caritat,NOUN
",",",",PUNCT
s',el,PRON
acoumodo,acomodar,VERB
libromen,librament,ADV
",",",",PUNCT
é,e,CCON
se,el,PRON
met,metre,VERB
à,a,ADP
la,lo,DET
modo,mòda,NOUN
de,de,ADP
toutoi,tot,PROPN
lengos,lenga,NOUN
",",",",PUNCT
per,per,ADP
atal,aital,ADV
pus,pus,ADV
aisadomen,aisadament,ADV
se,el,PRON
laissa,laissar,VERB
prene,prendre,VERB
é,e,CCON
aprene,aprendre,VERB
d',de,ADP
un,un,DET
cadun,cadun,PRON
",",",",PUNCT
à,a,ADP
fi,fin,NOUN
que,que,SCON
toutis,tot,PRON
siôn,èsser,AUX
salbats,salvar,VERB
.,.,PUNCT
Elo,el,PRON
se,el,PRON
foundo,fondar,VERB
su,sus,ADP
l',lo,DET
exemple,exemple,NOUN
de,de,ADP
la,lo,DET
sustancialo,substancial,ADJ
é,e,CCON
ouriginalo,original,ADJ
Caritat,caritat,NOUN
",",",",PUNCT
le,lo,DET
Santesprit,sant+esperit,PROPN
",",",",PUNCT
que,que,SCON
à,a,ADP
sa,son,DET
prumiéro,prumièr,ADJ
bengudo,venir,NOUN
",",",",PUNCT
le,lo,DET
gran,grand,ADJ
joun,jorn,NOUN
de,de,ADP
Pentocousto,Pentacosta,PROPN
",",",",PUNCT
per,per,ADP
un,un,PRON
de,de,ADP
sous,son,DET
prumiés,prumièr,ADJ
efféts,efet,NOUN
",",",",PUNCT
boulguec,voler,VERB
douna,donar,VERB
ais,a+lo,ADP+DET
Apostouls,Apòstol,NOUN
(,(,PUNCT
qu',qui,PRON
éron,èsser,VERB
les,lo,DET
prumiés,prumièr,ADJ
",",",",PUNCT
é,e,CCON
les,lo,DET
patrous,patron,NOUN
de,de,ADP
toutis,tot,DET
autres,autre,DET
Predicayres,predicaire,NOUN
),),PUNCT
le,lo,DET
Dou,don,NOUN
de,de,ADP
dibérsos,divèrs,ADJ
lengos,lenga,NOUN
",",",",PUNCT
segoun,segon,ADP
la,lo,DET
dibersitat,diversitat,NOUN
de,de,ADP
lours,lor,DET
Auditous,auditor,NOUN
.,.,PUNCT
Talomen,talament,ADV
qu',que,SCON
en,en,ADP
bertut,vertut,NOUN
d',de,ADP
aquel,aquel,DET
effét,efet,NOUN
de,de,ADP
la,lo,DET
Mestresso,mestre,NOUN
Caritat,caritat,NOUN
",",",",PUNCT
cadun,cadun,PRON
des,de+lo,ADP+DET
auditous,auditor,NOUN
deis,de+lo,ADP+DET
Apostouls,Apòstol,NOUN
",",",",PUNCT
augiô,ausir,VERB
la,lo,DET
santo,sant,ADJ
paraulo,paraula,NOUN
de,de,ADP
Diu,Dieu,PROPN
",",",",PUNCT
en,en,ADP
soun,son,DET
propre,pròpe,ADJ
lengatge,lengatge,NOUN
maternal,maternal,ADJ
.,.,PUNCT
E,e,CCON
de,de,ADP
fait,far,NOUN
",",",",PUNCT
lai,lo,DET
bounos,bon,ADJ
gens,gent,NOUN
nou,non,ADV
se,el,PRON
poudiôn,poder,VERB
counteni,contenir,VERB
per,per,ADP
admiraciu,admiracion,NOUN
",",",",PUNCT
de,de,ADP
dire,dire,VERB
:,:,PUNCT
Nouy,nos,PRON
les,lo,PRON
abén,aver,AUX
augits,ausir,VERB
parla,parlar,VERB
de,de,ADP
lai,lo,DET
grandous,grandor,NOUN
de,de,ADP
Diu,Dieu,PROPN
en,en,ADP
nostre,nòstre,DET
propre,pròpe,ADJ
lengatge,lengatge,NOUN
.,.,PUNCT
Nous,nos,PRON
abén,aver,AUX
augit,ausir,VERB
cadun,cadun,PRON
de,de,ADP
nous,nos,PRON
",",",",PUNCT
la,lo,DET
proprio,pròpre,ADJ
lengo,lenga,NOUN
del,de+lo,ADP+DET
payis,país,NOUN
ount,ont,PRON
én,èsser,AUX
nascuts,nàisser,VERB
.,.,PUNCT
Audiuimus,@latin,FW
eos,@latin,FW
loquentes,@latin,FW
nostris,@latin,FW
linguis,@latin,FW
",",",",PUNCT
magnalia,@latin,FW
