form	lemma	POS
NOUEL	noèl	NOUN
,	,	PUNCT
A	a	ADP
l'	lo	DET
aunou	onor	NOUN
de	de	ADP
nostro	nòstre	DET
Damo	Dama	PROPN
.	.	PUNCT
Apilouten	apilotar	VERB
nous	nos	PRON
Pastouréls	pastorèl	NOUN
Et	e	CCONJ
digan	dire	VERB
en	en	ADP
nostre	nòstre	DET
lengatge	lengatge	NOUN
Coussi	cossí	ADV
fourec	èsser	AUX
fayt	far	VERB
un	un	DET
messatge	messatge	NOUN
A	a	ADP
la	lo	DET
Regino	reina	NOUN
deys	de+lo	ADP+DET
Angels	àngel	NOUN
.	.	PUNCT
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
Le	lo	DET
noum	nom	NOUN
de	de	ADP
la	lo	DET
Bérges	verge	PROPN
nou	non	ADV
morîo	morir	VERB
Et	e	CCONJ
dinquios	dinc	ADP
al	a+lo	ADP+DET
darrié	darnièr	ADJ
badal	badal	NOUN
Canten	cantar	VERB
à	a	ADP
l'	lo	DET
aunou	onor	NOUN
de	de	ADP
nadal	nadal	NOUN
.	.	PUNCT
Gabriél	Gabrièl	PROPN
Arcangelet	arcangelet	NOUN
gentil	gentil	ADJ
Dits	dire	VERB
à	a	ADP
la	lo	DET
Bérges	verge	PROPN
benazido	benasir	ADJ
,	,	PUNCT
Filleto	filhet	NOUN
Diu	Dieu	PROPN
bous	vos	PRON
a	aver	AUX
cauzido	causir	VERB
Per	per	ADP
estre	èsser	AUX
méro	mèra	NOUN
de	de	ADP
soun	son	DET
fil	filh	NOUN
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
Le	lo	DET
noum	nom	NOUN
de	de	ADP
la	lo	DET
Bérges	verge	PROPN
nou	non	ADV
morio	morir	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Mario	Maria	PROPN
respoundec	respondre	VERB
humblomen	umblament	ADV
Pleno	plen	ADJ
de	de	ADP
gauch	gaug	NOUN
coumo	coma	ADV
de	de	ADP
gracio	gràcia	NOUN
,	,	PUNCT
Fasso	far	VERB
Diu	Dieu	PROPN
tout	tot	DET
so	çò	PRON
que	qui	PRON
li	el	PRON
placio	plaire	VERB
Ieu	ieu	PRON
soun	èsser	VERB
à	a	ADP
soun	son	DET
coumandomen	comandament	NOUN
.	.	PUNCT
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
,	,	PUNCT
Le	lo	DET
noum	nom	NOUN
de	de	ADP
la	lo	DET
Bérges	verge	PROPN
nou	non	ADV
morio	morir	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Incountinent	incontinent	ADV
dedins	dedins	ADP
sous	son	DET
rens	ren	NOUN
La	lo	DET
ma	man	NOUN
del	de+lo	ADP+DET
sant	sant	ADJ
Esprit	esperit	NOUN
oupéro	operar	VERB
Car	car	CCONJ
coumo	coma	SCONJ
Bérges	verge	ADJ
daban	davant	ADV
éro	èsser	AUX
Bergés	verge	ADJ
péy	puèi	SCONJ
fourec	èsser	AUX
amay	amai	ADV
prens	prens	ADJ
.	.	PUNCT
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
,	,	PUNCT
Le	lo	DET
noum	nom	NOUN
de	de	ADP
la	lo	DET
Bérges	verge	PROPN
nou	non	ADV
morio	morir	VERB
etc	etc	X
.	.	PUNCT
Atal	aital	ADV
per	per	ADP
un	un	DET
miracle	miracle	NOUN
gran	grand	ADJ
Et	e	CCONJ
perdessus	per+dessús	ADP
nostro	nòstre	DET
cerbélo	cervèl	NOUN
se	el	PRON
troubéc	trobar	VERB
prens	prens	ADJ
uno	un	DET
piucélo	piucèl	ADJ
,	,	PUNCT
Et	e	CCONJ
s'	el	PRON
ajaguec	ajaire	VERB
d'	de	ADP
un	un	DET
bél	bèl	ADJ
efan	enfant	NOUN
.	.	PUNCT
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Canten	cantar	VERB
Pastourelets	pastorelet	NOUN
Moundis	mondin	ADJ
En	en	ADP
pregan	pregar	VERB
la	lo	DET
sagrado	sagrar	VERB
méro	mèra	NOUN
Que	que	SCONJ
pregue	pregar	VERB
Diu	Dieu	PROPN
soun	son	DET
fil	filh	NOUN
et	e	CCONJ
péro	pèra	NOUN
Qu'	qui	PRON
un	un	DET
jour	jorn	NOUN
nous	nos	PRON
doune	donar	VERB
Paradis	paradís	PROPN
.	.	PUNCT
Jamay	jamai	ADV
dedins	dedins	ADP
nostro	nòstre	DET
memorio	memòria	NOUN
Le	lo	DET
noum	nom	NOUN
de	de	ADP
la	lo	DET
Bérges	verge	PROPN
nou	non	ADV
morio	morir	VERB
Et	e	CCONJ
dinquios	dinc	ADP
al	a+lo	ADP+DET
darrié	darnièr	ADJ
badal	badal	NOUN
Canten	cantar	VERB
à	a	ADP
l'	lo	DET
aunou	onor	NOUN
de	de	ADP
Nadal	nadal	NOUN
.	.	PUNCT
God_F1-22		
AUTRE	autre	PRON
.	.	PUNCT
Pla	plan	ADV
se	el	PRON
pot	poder	VERB
teni	tenir	VERB
l'	lo	DET
home	òme	NOUN
fiér	fièr	ADJ
,	,	PUNCT
B'	ben	ADV
es	èsser	AUX
hurous	urós	ADJ
tres	3	DET
cops	còp	NOUN
amay	amai	ADV
quatre	7	DET
,	,	PUNCT
Toutos	tot	DET
las	lo	DET
Poutestats	potestat	NOUN
d'	de	ADP
Ifér	infèrn	PROPN
.	.	PUNCT
Un	un	DET
bel	bèl	ADJ
moutet	motet	NOUN
entounen	entonar	VERB
coumpaignous	companhon	NOUN
Et	e	CCONJ
foro	fòra	ADV
de	de	ADP
tout'	tot	DET
alarmo	alarma	NOUN
Hounouren	onorar	VERB
de	de	ADP
cor	còr	NOUN
et	e	CCONJ
d'	de	ADP
armo	arma	NOUN
Le	lo	DET
Rey	rei	PROPN
des	de+lo	ADP+DET
Reys	rei	NOUN
,	,	PUNCT
le	lo	DET
seignou	senhor	NOUN
des	de+lo	ADP+DET
seignous	senhor	NOUN
.	.	PUNCT
Sul	sus+lo	ADP+DET
poumié	pomièr	NOUN
satan	Satan	PROPN
enjoucat	enjocar	VERB
Nous	nos	PRON
aterréc	aterrir	VERB
en	en	ADP
troumpan	trompar	VERB
Ebo	Èva	PROPN
,	,	PUNCT
Més	mas	CCONJ
béci	veici	VERB
Diu	Dieu	PROPN
que	qui	PRON
nous	nos	PRON
relébo	relevar	VERB
En	en	ADP
esfalsan	esfalsar	VERB
l'	lo	DET
orre	òrre	ADJ
pecat	pecar	NOUN
.	.	PUNCT
Un	un	DET
bél	bèl	ADJ
moutet	motet	NOUN
entounen	entonar	VERB
Coumpaignous	companhon	NOUN
Et	e	CCONJ
foro	fòra	ADV
de	de	ADP
tout'	tot	DET
alarmo	alarma	NOUN
,	,	PUNCT
Hounouren	onorar	VERB
de	de	ADP
cor	còr	NOUN
et	e	CCONJ
d'	de	ADP
armo	arma	NOUN
Le	lo	DET
Rey	rei	PROPN
des	de+lo	ADP+DET
Reys	rei	NOUN
,	,	PUNCT
le	lo	DET
seignou	senhor	NOUN
des	de+lo	ADP+DET
seignous	senhor	NOUN
.	.	PUNCT
Un	un	DET
coufin	cofin	NOUN
d'	de	ADP
estable	estable	NOUN
li	el	PRON
play	plaire	VERB
Oun	ont	PRON
nays	nàisser	VERB
sense	sens	ADP
poumpo	pompa	NOUN
ni	ni	CCONJ
glorio	glòria	NOUN
Afi	afin	ADV
que	que	SCONJ
soun	son	DET
poble	pòble	NOUN
nou	non	ADV
morio	morir	VERB
D'	de	ADP
uno	un	DET
mort	mòrt	NOUN
de	de	ADP
tout	tot	PRON
et	e	CCONJ
jamay	jamai	ADV
.	.	PUNCT
Un	un	DET
bél	bèl	ADJ
moutet	motet	NOUN
entounen	entonar	VERB
Coumpaignous	companhon	NOUN
Et	e	CCONJ
foro	fòra	ADV
de	de	ADP
tout'	tot	DET
alarmo	alarma	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Siô	èsser	AUX
benazit	benasir	ADJ
à	a	ADP
tout	tot	DET
perpaus	perpaus	NOUN
Diu	Dieu	PROPN
,	,	PUNCT
que	qui	PRON
del	de+lo	ADP+DET
cel	cèl	NOUN
fec	far	VERB
fa	far	VERB
sourtido	sortir	VERB
Per	per	ADP
,	,	PUNCT
à	a	ADP
la	lo	DET
fi	fin	NOUN
de	de	ADP
nostro	nòstre	DET
bido	vida	NOUN
,	,	PUNCT
Nous	nos	PRON
douna	donar	VERB
le	lo	DET
sante	sant	ADJ
repaus	repaus	NOUN
.	.	PUNCT
Un	un	DET
bél	bèl	ADJ
moutet	motet	NOUN
entounen	entonar	VERB
Coumpaignous	companhon	NOUN
Et	e	CCONJ
foro	fòra	ADV
de	de	ADP
tout'	tot	DET
alarmo	alarma	NOUN
Hounouren	onorar	VERB
de	de	ADP
cor	còr	NOUN
et	e	CCONJ
d'	de	ADP
armo	arma	NOUN
Le	lo	DET
Rey	rei	PROPN
des	de+lo	ADP+DET
Reys	rei	NOUN
,	,	PUNCT
le	lo	DET
seignou	senhor	NOUN
des	de+lo	ADP+DET
seignous	senhor	NOUN
.	.	PUNCT
God_F1-23		
AUTRE	autre	PRON
.	.	PUNCT
Sur	sus	ADP
la	lo	DET
Nativitat	nativitat	NOUN
de	de	ADP
Nostre	nòstre	DET
seigne	sénher	NOUN
.	.	PUNCT
Fazan	far	VERB
à	a	ADP
qui	qui	PRON
cante	cantar	VERB
milhou	melhor	ADV
La	lo	DET
grandou	grandor	NOUN
de	de	ADP
Diu	Dieu	PROPN
counescudo	conéisser	VERB
:	:	PUNCT
Ouéy	uèi	ADV
,	,	PUNCT
que	qui	PRON
sens'	sens	ADP
